ENSEMBLID	Gene	ENTREZID
17450	ENSDARG00000094673	rhoab	100006041
17457	ENSDARG00000094752	rpe65b	100002865
17461	ENSDARG00000094857	dio2	352937
17466	ENSDARG00000094887	si:ch211-170d8.2	571755
17467	ENSDARG00000094890	si:ch211-163b2.4	100003064
17468	ENSDARG00000094892	cenph	567359
17471	ENSDARG00000094975	si:ch211-214p16.2	368902
17473	ENSDARG00000094992	otx1	30500
17476	ENSDARG00000095046	pold2	796456
17487	ENSDARG00000095347	si:dkeyp-72h1.1	799956
17493	ENSDARG00000095445	si:dkey-191c17.2	100005628
17501	ENSDARG00000095606	si:dkeyp-51f12.2	100151460
17502	ENSDARG00000095633	smim24	564121
17510	ENSDARG00000095743	sox11b	30603
17513	ENSDARG00000095767	dio3b	798872
17520	ENSDARG00000095833	ALK	563509
17525	ENSDARG00000095879	wdr46	393596
17568	ENSDARG00000096620	tube1	393960
17616	ENSDARG00000096755	si:ch211-202p1.5	103909337
17647	ENSDARG00000096843	zgc:193593	564090
17661	ENSDARG00000096979	npc2.2	565099
17687	ENSDARG00000097299	FLRT2	100535467
17689	ENSDARG00000097302	tbpl2	407713
17692	ENSDARG00000097339	slc9a1b	795135
17708	ENSDARG00000097465	trmt61b	100003205
17709	ENSDARG00000097478	qkia	30471
17711	ENSDARG00000097487	pfn4	556873
17723	ENSDARG00000097567	linc.alien	106660635
17744	ENSDARG00000097706	birc6-as2	101885944
17749	ENSDARG00000097753	slirp	368358
17751	ENSDARG00000097772	si:ch211-185a18.2	100884142
17774	ENSDARG00000097920	tex36	566463
17778	ENSDARG00000097934	si:dkey-221l4.10	568313
17792	ENSDARG00000098051	opn6b	557053
17793	ENSDARG00000098059	FKBP3	NA
17794	ENSDARG00000098081	GABRR1	100330554
17795	ENSDARG00000098108	dusp2	445057
17796	ENSDARG00000098113	WSCD1	100329926
17797	ENSDARG00000098135	STK40	564859
17798	ENSDARG00000098141	supt3h	436898
17800	ENSDARG00000098201	mtmr3	393838
17802	ENSDARG00000098215	BICD2	100330881
17805	ENSDARG00000098240	meis2a	170454
17806	ENSDARG00000098291	trpc3	101887082
17807	ENSDARG00000098293	si:dkey-27i16.2	100005903
17809	ENSDARG00000098313	nadka	550242
17811	ENSDARG00000098334	exosc3	565000
17812	ENSDARG00000098350	mxd3	394031
17813	ENSDARG00000098367	srp54	393963
17814	ENSDARG00000098375	POLR1A	327078
17817	ENSDARG00000098466	ube2a	797853
17818	ENSDARG00000098475	arr3b	796867
17823	ENSDARG00000098586	zgc:194887	571819
17824	ENSDARG00000098588	gchfr	393735
17825	ENSDARG00000098591	tubb2b	641421
17826	ENSDARG00000098592	zgc:92140	447854
17827	ENSDARG00000098625	efna5b	30223
17828	ENSDARG00000098650	iqgap3	100537977
17829	ENSDARG00000098652	PCDH11Y	100333121
17831	ENSDARG00000098669	exd1	751755
17832	ENSDARG00000098671	prelid1a	393337
17836	ENSDARG00000098733	PXDN	100332937
17837	ENSDARG00000098742	lrtm1	101883439
17839	ENSDARG00000098746	dhrs13l1	402945
17842	ENSDARG00000098774	si:zfos-741a10.3	796591
17844	ENSDARG00000098792	znrf2b	767761
17845	ENSDARG00000098822	tcerg1a	323071
17846	ENSDARG00000098823	PDZD4	553320
17847	ENSDARG00000098826	PLCL2	NA
17848	ENSDARG00000098834	sox4b	393875
17849	ENSDARG00000098849	SLC25A29	100329459
17850	ENSDARG00000098853	ehd1a	405810
17851	ENSDARG00000098903	tfe3a	114834
17852	ENSDARG00000098907	abraxas2	406584
17853	ENSDARG00000098913	faslg	735295
17854	ENSDARG00000098952	gata4	30483
17855	ENSDARG00000099022	faua	393710
17863	ENSDARG00000099143	fnta	555882
17864	ENSDARG00000099144	igfbp3	403079
17866	ENSDARG00000099197	actc1b	58114
17868	ENSDARG00000099252	ipcef1	767791
17870	ENSDARG00000099274	atxn3	394079
17873	ENSDARG00000099315	nsdhl	550369
17875	ENSDARG00000099351	igfbp1a	317638
17877	ENSDARG00000099386	LRRTM4	NA
17880	ENSDARG00000099427	nkx1.2lb	407077
17881	ENSDARG00000099455	ogt.2	652952
17884	ENSDARG00000099517	adss1	407989
17887	ENSDARG00000099545	snx25	793657
17888	ENSDARG00000099558	NPC1L1	100616532
17889	ENSDARG00000099562	lygl2	100322265
17894	ENSDARG00000099614	PURA	557266
17898	ENSDARG00000099651	bin3	323976
17899	ENSDARG00000099657	AKT1	NA
17903	ENSDARG00000099694	neurl1b	553620
17904	ENSDARG00000099720	evlb	402929
17907	ENSDARG00000099783	pcdh2ac	493587
17910	ENSDARG00000099849	ebf3a	565310
17913	ENSDARG00000099885	trim105	100170828
17914	ENSDARG00000099923	zgc:154054	777616
17915	ENSDARG00000099928	chrm5a	553978
17921	ENSDARG00000099985	ccn1l2	553273
17924	ENSDARG00000100007	ARHGAP39	101884459
17925	ENSDARG00000100019	arhgap11a	406608
17926	ENSDARG00000100020	pim1	572469
17929	ENSDARG00000100047	ergic1	567774
17932	ENSDARG00000100093	PPP2R2B	100001644
17934	ENSDARG00000100135	dre-mir-7146	102466226
17935	ENSDARG00000100136	dcp1a	360153
17938	ENSDARG00000100198	sncaip	796993
17940	ENSDARG00000100209	prpf39	368864
17943	ENSDARG00000100248	c1r	560927
17945	ENSDARG00000100287	SLA	101884146
17946	ENSDARG00000100304	CHDH	100331020
17947	ENSDARG00000100317	ahsa1b	321945
17948	ENSDARG00000100359	AREL1	100332031
17952	ENSDARG00000100402	FGD1	560305
17954	ENSDARG00000100426	FAM167B	556719
17955	ENSDARG00000100435	sec22bb	327277
17956	ENSDARG00000100439	FAM177A1	751751
17957	ENSDARG00000100466	nrl	554169
17961	ENSDARG00000100515	dusp1	406340
17962	ENSDARG00000100536	nkrf	797627
17964	ENSDARG00000100558	slbp	407727
17965	ENSDARG00000100564	SIL1	568308
17966	ENSDARG00000100582	si:ch211-195b11.3	100334344
17968	ENSDARG00000100599	c1s.1	793529
17969	ENSDARG00000100631	klhl12	492362
17971	ENSDARG00000100649	tlr1	403127
17972	ENSDARG00000100674	UBE2O	100331775
17973	ENSDARG00000100707	si:dkey-48g21.7	503965
17978	ENSDARG00000100786	PLCB4	100537538
17981	ENSDARG00000100813	nudt12	550370
17982	ENSDARG00000100823	selenok	791738
17984	ENSDARG00000100847	esrrb	407693
17986	ENSDARG00000100850	rnf103	447861
17987	ENSDARG00000100851	gphnb	100007749
17990	ENSDARG00000100916	uvssa	402864
17992	ENSDARG00000100954	WARS1	108179007
17994	ENSDARG00000100965	EP400	562355
17996	ENSDARG00000101051	ctsbb	569298
17997	ENSDARG00000101060	gcna	541448
17998	ENSDARG00000101062	fdft1	571911
18000	ENSDARG00000101072	cnot6b	560386
18005	ENSDARG00000101180	mcm7	192333
18006	ENSDARG00000101203	ZNF513	568955
18007	ENSDARG00000101205	mbd1a	797143
18008	ENSDARG00000101206	zgc:113363	791449
18009	ENSDARG00000101239	hsd17b4	393105
18011	ENSDARG00000101260	GPATCH2	555214
18013	ENSDARG00000101290	spink2.5	100538065
18015	ENSDARG00000101318	pcdh2ab9	493599
18020	ENSDARG00000101419	drp2	558055
18022	ENSDARG00000101437	FSBP	101884826
18023	ENSDARG00000101481	rbp5	171477
18026	ENSDARG00000101508	nr6a1a	30506
18027	ENSDARG00000101510	CETN1	100006257
18029	ENSDARG00000101512	tmx4	792311
18030	ENSDARG00000101530	prr16	793445
18031	ENSDARG00000101535	COL10A1	555804
18032	ENSDARG00000101549	nkx2.2b	493627
18038	ENSDARG00000101602	preb	436911
18042	ENSDARG00000101626	arf6a	336063
18044	ENSDARG00000101635	dact1	405799
18045	ENSDARG00000101660	sntg2	569320
18047	ENSDARG00000101676	KLHL28	100333404
18050	ENSDARG00000101789	cyp1c2	100137725
18051	ENSDARG00000101794	atp6v0e1	450017
18053	ENSDARG00000101831	irx1a	403019
18056	ENSDARG00000101888	OSCP1	100334608
18057	ENSDARG00000101900	xrn2	321940
18058	ENSDARG00000101910	pcdh20	568796
18065	ENSDARG00000101952	pigv	100148642
18066	ENSDARG00000101996	cxxc1a	393571
18067	ENSDARG00000102021	C17H14orf28	100333462
18068	ENSDARG00000102048	slc25a43	796731
18069	ENSDARG00000102055	hadhb	336606
18070	ENSDARG00000102058	si:dkeyp-11e3.1	558513
18073	ENSDARG00000102075	RNF122	100329730
18074	ENSDARG00000102076	spink2.1	565497
18075	ENSDARG00000102094	c1s.2	793504
18077	ENSDARG00000102096	adra2b	266751
18080	ENSDARG00000102138	foxa1	30541
18081	ENSDARG00000102144	eef1akmt2	503749
18082	ENSDARG00000102147	fem1c	378965
18084	ENSDARG00000102167	ppox	664750
18089	ENSDARG00000102257	soul3	751688
18093	ENSDARG00000102317	rpl26	406387
18094	ENSDARG00000102332	spint1a	406426
18095	ENSDARG00000102333	fcf1	550264
18097	ENSDARG00000102402	fut11	568888
18099	ENSDARG00000102419	azi2	406377
18100	ENSDARG00000102426	fut9b.5	100093713
18101	ENSDARG00000102433	sytl4	553322
18104	ENSDARG00000102490	asb2b	402848
18106	ENSDARG00000102525	lck	414333
18108	ENSDARG00000102546	cdk11b	494103
18109	ENSDARG00000102554	fut9b.6	550469
18111	ENSDARG00000102566	EEIG1	796432
18113	ENSDARG00000102587	mios	393208
18115	ENSDARG00000102608	zgc:109986	553566
18116	ENSDARG00000102612	slc15a4	393932
18120	ENSDARG00000102715	UST	NA
18121	ENSDARG00000102719	pcdh2ab3	493590
18122	ENSDARG00000102744	mgst3a	406736
18124	ENSDARG00000102753	si:dkey-109l4.3	559137
18126	ENSDARG00000102759	TMEM132D	100332191
18128	ENSDARG00000102778	fgf17	407737
18129	ENSDARG00000102824	pcdh10b	360138
18132	ENSDARG00000102874	immt	327206
18133	ENSDARG00000102898	mtf1	195821
18137	ENSDARG00000102968	cnga2a	751786
18139	ENSDARG00000102983	emc7a	571824
18140	ENSDARG00000102986	csf1ra	64274
18141	ENSDARG00000102987	capn7	556792
18142	ENSDARG00000103017	xkr5a	497102
18143	ENSDARG00000103019	gstp1.1	553169
18146	ENSDARG00000103046	rest	564772
18148	ENSDARG00000103067	ADGRD2	571770
18149	ENSDARG00000103101	ndufc1	100000992
18150	ENSDARG00000103124	SLC35F4	100001581
18151	ENSDARG00000103176	nr5a1a	83916
18154	ENSDARG00000103234	ppie	550373
18159	ENSDARG00000103312	C16H1orf232	101883133
18162	ENSDARG00000103345	CGA	110438068
18166	ENSDARG00000103391	RAB9B	100003363
18169	ENSDARG00000103464	pggt1b	570808
18173	ENSDARG00000103533	clec14a	327325
18174	ENSDARG00000103540	gpr132b	566903
18178	ENSDARG00000103609	mib2	560887
18179	ENSDARG00000103610	actr8	326866
18180	ENSDARG00000103623	npy7r	449010
18181	ENSDARG00000103665	BRPF1	NA
18182	ENSDARG00000103670	cmc1	406630
18184	ENSDARG00000103690	vipas39	415096
18186	ENSDARG00000103702	si:busm1-194e12.8	368816
18188	ENSDARG00000103716	mhc2dga	368614
18190	ENSDARG00000103732	plp1a	64264
18192	ENSDARG00000103759	fahd2a	405854
18193	ENSDARG00000103771	cep128	100037385
18195	ENSDARG00000103833	spink2.2	100537783
18196	ENSDARG00000103849	mdh1ab	335715
18197	ENSDARG00000103856	ptcd3	553325
18198	ENSDARG00000103906	pcdh2ab10	493598
18200	ENSDARG00000103917	znf185	553349
18201	ENSDARG00000103924	zgc:154055	556036
18203	ENSDARG00000103940	FRRS1L	100536668
18204	ENSDARG00000103953	med12	566632
18206	ENSDARG00000103978	sh3bp5b	406767
18207	ENSDARG00000103996	spdl1	568360
18209	ENSDARG00000104031	mrpl33	100536515
18211	ENSDARG00000104068	gstp1.2	79381
18216	ENSDARG00000104080	pcdh2ab12	493600
18217	ENSDARG00000104103	rps6kc1	564322
18218	ENSDARG00000104107	nkx2.4b	58112
18220	ENSDARG00000104125	TTC6	568208
18221	ENSDARG00000104128	SNX2	NA
18224	ENSDARG00000104149	rraga	325358
18225	ENSDARG00000104181	tmsb1	798430
18227	ENSDARG00000104186	fbxo43	393403
18233	ENSDARG00000104230	sec23a	406774
18234	ENSDARG00000104243	eomesb	799447
18235	ENSDARG00000104283	CDC42BPA	567912
18236	ENSDARG00000104306	UBR1	568531
18238	ENSDARG00000104344	ccdc127a	751722
18240	ENSDARG00000104404	b4galt1l	768123
18241	ENSDARG00000104448	lrr1	404617
18242	ENSDARG00000104453	flt4	30121
18243	ENSDARG00000104472	si:ch211-39i2.2	449866
18244	ENSDARG00000104474	il6r	100135755
18251	ENSDARG00000104618	GREM1	100005728
18253	ENSDARG00000104635	mhc2dgb	368615
18254	ENSDARG00000104663	zgc:103755	449988
18256	ENSDARG00000104708	DDX24	553462
18257	ENSDARG00000104709	sprtn	101886162
18259	ENSDARG00000104730	mhc2d8.35b2	563286
18260	ENSDARG00000104786	nlgn3a	562702
18263	ENSDARG00000104845	mipol1	321390
18264	ENSDARG00000104848	CDKAL1	NA
18266	ENSDARG00000104874	fzd6	393533
18269	ENSDARG00000104922	SSTR1	568254
18270	ENSDARG00000104958	KBTBD11	557467
18271	ENSDARG00000104959	dnajc17	393216
18272	ENSDARG00000104973	wnt5a	568191
18274	ENSDARG00000105029	TPPP	100333482
18280	ENSDARG00000105214	agtpbp1	554164
18283	ENSDARG00000105243	ogt.1	337685
18285	ENSDARG00000105258	cep72	553488
18286	ENSDARG00000105277	cnksr3	100003037
18290	ENSDARG00000105335	si:dkey-241l7.2	569235
18291	ENSDARG00000105346	zp2.2	114438
18300	ENSDARG00000105434	GRXCR1	100332873
18308	ENSDARG00000105498	TSC22D3	393541
18317	ENSDARG00000106018	CACNA2D3	100535196
18320	ENSDARG00000106062	fzd1	557384
18326	ENSDARG00000106158	TP53I3	796473
18368	ENSDARG00000107442	SLC35D3	565603
18371	ENSDARG00000107576	INSYN2A	100002268
18385	ENSDARG00000107926	dre-mir-124-4	100216523
18410	ENSDARG00000108781	C17H14orf132	103909003
18411	ENSDARG00000108787	TRIM67	100332164
18428	ENSDARG00000109287	HMBOX1	100317353
18429	ENSDARG00000109289	mrps15	436758
18462	ENSDARG00000109717	SLC35E2B	100331662
18463	ENSDARG00000109726	PLCB1	101886206
18467	ENSDARG00000109820	NPAS3	570491
18478	ENSDARG00000110032	SAMD5	NA
18501	ENSDARG00000110496	ppp1r14d	100037351
18503	ENSDARG00000110528	sypa	559698
18506	ENSDARG00000110581	mapk4	406782
18513	ENSDARG00000110650	taar13d	100034379
18514	ENSDARG00000110654	wdr21	393674
18516	ENSDARG00000110700	COX7A2	100535363
18524	ENSDARG00000110838	AGBL4	NA
18540	ENSDARG00000111110	BSN	NA
18542	ENSDARG00000111235	nrsn1	335551
18544	ENSDARG00000111290	ERG28	565132
18551	ENSDARG00000111442	zgc:100951	445228
18569	ENSDARG00000111809	dre-mir-2185-1	100885856
18572	ENSDARG00000111860	exorh	30459
18577	ENSDARG00000112016	taar13b	100034380
18616	ENSDARG00000112587	si:ch211-199m3.1	557251
18622	ENSDARG00000112728	KLHL12	108178999
18624	ENSDARG00000112794	taar13c	100034378
18641	ENSDARG00000113254	COX5B	100002384
18649	ENSDARG00000113552	fam78bb	796762
18655	ENSDARG00000113702	RIMS2	NA
18657	ENSDARG00000113771	GRIK2	556013
18660	ENSDARG00000113793	taar13a	100034639
18663	ENSDARG00000113820	cyp46a1.4	393451
18680	ENSDARG00000114237	bcl2l16	100359374
18687	ENSDARG00000114338	tpbgl	100537897
18716	ENSDARG00000114552	siva1	571845
18752	ENSDARG00000114958	zp3	30594
18756	ENSDARG00000115066	si:dkey-65b13.8	561480
18767	ENSDARG00000115277	taar13e	100034381
18773	ENSDARG00000115349	nat14	751624
18777	ENSDARG00000115457	zp3.2	574007
18805	ENSDARG00000115987	srp14	619260
18820	ENSDARG00000116442	TENT5A	100330676
18823	ENSDARG00000116497	phyhip	100002455
18836	ENSDARG00000116668	taar10a	794359
18840	ENSDARG00000116758	c16h2orf66	103908919
18846	ENSDARG00000116848	izumo1	100329365
18850	ENSDARG00000116896	TMEM233	101885033
18853	ENSDARG00000116976	parapinopsina	100331083
18854	ENSDARG00000116990	taar12f	794923
18860	ENSDARG00000117118	taar12e	100034600
18864	ENSDARG00000117173	taar10c	794440
18953	ENSDARG00000000068	nherf1a	327272
18954	ENSDARG00000000503	stx1b	58038
18955	ENSDARG00000000551	slc1a4	368885
18956	ENSDARG00000000656	psmb9a	30665
18957	ENSDARG00000000729	daxx	561006
18958	ENSDARG00000000760	znf511	368916
18959	ENSDARG00000000935	unk	393205
18960	ENSDARG00000001015	znf384a	368610
18961	ENSDARG00000001169	hsd17b8	64815
18962	ENSDARG00000001303	psmb8a	30666
18964	ENSDARG00000001452	adam8a	368917
18965	ENSDARG00000001498	skap1	563784
18966	ENSDARG00000001558	kifc1	30453
18968	ENSDARG00000001572	prf1.3	559849
18969	ENSDARG00000001578	echs1	368912
18970	ENSDARG00000001656	psmb13a	64280
18971	ENSDARG00000001710	FLOT1	561345
18972	ENSDARG00000001825	CFAP43	568701
18973	ENSDARG00000001880	stx3b	393515
18974	ENSDARG00000001888	ppm1ba	30672
18976	ENSDARG00000002013	grb10a	446167
18977	ENSDARG00000002026	QKI	100462714
18978	ENSDARG00000002071	adss2	550502
18979	ENSDARG00000002077	mnat1	450080
18980	ENSDARG00000002194	rhd	554272
18981	ENSDARG00000002197	pygl	493916
18983	ENSDARG00000002249	tbxas1	792041
18984	ENSDARG00000002259	ca15c	768190
18985	ENSDARG00000002298	ankrd22	393244
18986	ENSDARG00000002304	gins2	554146
18987	ENSDARG00000002332	frmd6	321937
18988	ENSDARG00000002362	ubald1a	794012
18989	ENSDARG00000002403	nusap1	567446
18990	ENSDARG00000002487	noc3l	321289
18991	ENSDARG00000002509	zgc:153911	768172
18992	ENSDARG00000002546	rundc3ab	393118
18993	ENSDARG00000002549	eif3eb	561049
18994	ENSDARG00000002571	tmod2	447869
18995	ENSDARG00000002576	cabp5a	393671
18996	ENSDARG00000002589	mylpfb	447930
18997	ENSDARG00000002613	rpa3	393196
18998	ENSDARG00000002632	anxa11b	353365
18999	ENSDARG00000002696	gnb3b	406483
19000	ENSDARG00000002720	utp15	325106
19001	ENSDARG00000002722	ANKRD2	101886079
19002	ENSDARG00000002731	sdc2	282667
19003	ENSDARG00000002748	sema6d	406272
19004	ENSDARG00000002764	miox	571850
19005	ENSDARG00000002768	pvalb2	58028
19006	ENSDARG00000002787	tle3a	30206
19007	ENSDARG00000002798	cog8	541379
19008	ENSDARG00000002880	VPS50	100034394
19009	ENSDARG00000002916	SEC31B	100148383
19011	ENSDARG00000002968	A1CF	562916
19012	ENSDARG00000003008	PRKCE	100005075
19013	ENSDARG00000003020	lrrc4.2	566572
19014	ENSDARG00000003061	cd276	791140
19015	ENSDARG00000003077	gpx9	794084
19016	ENSDARG00000003085	STAMBPL1	570542
19018	ENSDARG00000003153	nudt21	394092
19019	ENSDARG00000003167	mlst8	792689
19020	ENSDARG00000003205	ngly1	553627
19021	ENSDARG00000003207	mterf3	436888
19022	ENSDARG00000003208	pomk	492773
19023	ENSDARG00000003210	ANO2	NA
19024	ENSDARG00000003217	urb2	570267
19025	ENSDARG00000003251	zbtb22b	64809
19026	ENSDARG00000003293	sox9a	60641
19027	ENSDARG00000003311	pank2	570866
19028	ENSDARG00000003320	fam91a1	393413
19030	ENSDARG00000003380	paox	562105
19031	ENSDARG00000003399	fgf8a	30538
19032	ENSDARG00000003420	chrna5	550584
19033	ENSDARG00000003444	dhrs7	751626
19034	ENSDARG00000003449	pde10a	394077
19035	ENSDARG00000003487	nup93	30172
19036	ENSDARG00000003616	arih1	327005
19037	ENSDARG00000003680	runx1t1	767809
19038	ENSDARG00000003795	idh2	386951
19039	ENSDARG00000003827	snapc1b	393224
19040	ENSDARG00000003829	galnt2	570248
19041	ENSDARG00000003860	cbx3a	751689
19042	ENSDARG00000003931	cndp2	327288
19043	ENSDARG00000003965	tlx1	266964
19044	ENSDARG00000003994	SYT9	798433
19045	ENSDARG00000004017	spag1a	564953
19046	ENSDARG00000004037	cog2	406663
19047	ENSDARG00000004151	rab23	553778
19048	ENSDARG00000004160	reep3b	393130
19049	ENSDARG00000004169	stmn1a	678630
19050	ENSDARG00000004280	seh1l	334749
19051	ENSDARG00000004311	ldlrap1a	368278
19052	ENSDARG00000004343	nelfe	436648
19053	ENSDARG00000004378	yrk	337571
19054	ENSDARG00000004405	snx10a	403027
19055	ENSDARG00000004415	tcf7l2	30510
19056	ENSDARG00000004436	cibar1	445210
19057	ENSDARG00000004460	desi2	445138
19058	ENSDARG00000004472	atat1	406389
19059	ENSDARG00000004473	tbx21	797797
19060	ENSDARG00000004492	pcyt1ab	553770
19063	ENSDARG00000004588	sox4a	336346
19064	ENSDARG00000004643	cdhr1a	449008
19065	ENSDARG00000004695	six4a	65233
19066	ENSDARG00000004702	irf2bp2a	335866
19067	ENSDARG00000004706	syf2	445043
19068	ENSDARG00000004782	fgfr3	58129
19069	ENSDARG00000004823	asz1	572911
19070	ENSDARG00000004866	mindy1	563470
19071	ENSDARG00000004889	aga	566517
19072	ENSDARG00000004931	slc8a3	560561
19073	ENSDARG00000004948	bccip	541348
19074	ENSDARG00000004979	elovl5	393425
19076	ENSDARG00000005023	fkbp9	445126
19077	ENSDARG00000005026	tshz1	369196
19078	ENSDARG00000005115	calub	394057
19079	ENSDARG00000005134	psmd11b	322265
19080	ENSDARG00000005162	tpm3	373076
19081	ENSDARG00000005176	zgc:101040	445194
19082	ENSDARG00000005185	cpn1	337172
19083	ENSDARG00000005186	sp4	387291
19084	ENSDARG00000005230	ssr2	83414
19086	ENSDARG00000005246	asb3	334210
19087	ENSDARG00000005284	fbxl15	405878
19088	ENSDARG00000005355	larp6a	334471
19089	ENSDARG00000005382	prdm9	393876
19090	ENSDARG00000005423	pgam1a	323107
19091	ENSDARG00000005454	tacc3	321283
19092	ENSDARG00000005468	irf2bp1	556852
19093	ENSDARG00000005510	gdf6b	30180
19094	ENSDARG00000005522	GALR1	567820
19095	ENSDARG00000005625	maco1a	393289
19096	ENSDARG00000005834	gatad2b	562045
19097	ENSDARG00000005842	cd9a	322455
19098	ENSDARG00000005926	ak2	321793
19100	ENSDARG00000005972	ric8b	334503
19101	ENSDARG00000006003	mycla	405873
19102	ENSDARG00000006025	tp53i11b	556618
19103	ENSDARG00000006112	myof	393849
19104	ENSDARG00000006125	csnk1db	406533
19106	ENSDARG00000006181	hif1aa	797150
19107	ENSDARG00000006196	sav1	447821
19108	ENSDARG00000006290	ndufs5	553660
19109	ENSDARG00000006350	nkx1.2la	405755
19110	ENSDARG00000006356	slc18a3a	559347
19111	ENSDARG00000006372	ugt5c2	751669
19112	ENSDARG00000006413	rpl38	436759
19113	ENSDARG00000006420	ATRNL1	569196
19114	ENSDARG00000006497	rtn1a	323706
19115	ENSDARG00000006640	eomesa	64603
19116	ENSDARG00000006712	wipf2b	415255
19117	ENSDARG00000006760	SLC24A3	557196
19118	ENSDARG00000006811	sult1st6	436872
19119	ENSDARG00000006859	nkain1	393517
19120	ENSDARG00000006891	kcns3a	565375
19121	ENSDARG00000006911	wnt8b	30144
19123	ENSDARG00000007065	mrps18b	550455
19124	ENSDARG00000007136	SH3BP5L	558670
19125	ENSDARG00000007180	slc30a4	393616
19126	ENSDARG00000007186	ppp1r8a	566830
19127	ENSDARG00000007219	actn1	560400
19128	ENSDARG00000007294	aco2	322670
19129	ENSDARG00000007347	degs1	327075
19130	ENSDARG00000007362	sft2d1	393343
19131	ENSDARG00000007382	ubtd1a	563264
19132	ENSDARG00000007383	kcnk6	504083
19133	ENSDARG00000007409	ppifa	447887
19134	ENSDARG00000007461	SRGAP1	570262
19135	ENSDARG00000007465	tdrd1	553522
19136	ENSDARG00000007467	ifit10	567441
19137	ENSDARG00000007490	adrb1	557194
19138	ENSDARG00000007561	cdh23	407978
19139	ENSDARG00000007597	bloc1s4	445081
19140	ENSDARG00000007624	gins1	450061
19141	ENSDARG00000007753	cpne2	565225
19142	ENSDARG00000007795	cst3	791878
19144	ENSDARG00000007808	zdhhc16a	394017
19145	ENSDARG00000007813	rnpepl1	100535895
19146	ENSDARG00000007825	map2k1	406728
19147	ENSDARG00000007863	tra2a	393388
19148	ENSDARG00000007885	fancl	406255
19149	ENSDARG00000007891	meox1	436723
19150	ENSDARG00000007892	pdcd2	393370
19152	ENSDARG00000007943	gabpb2a	554849
19153	ENSDARG00000007960	hnrnpaba	321466
19154	ENSDARG00000007971	cks1b	445199
19156	ENSDARG00000007982	onecut1	393545
19157	ENSDARG00000007990	wt1b	568416
19158	ENSDARG00000008075	illr4	559737
19160	ENSDARG00000008098	ifit9	567384
19161	ENSDARG00000008127	pcdh15b	503521
19162	ENSDARG00000008133	foxl1	393959
19163	ENSDARG00000008140	kcnab1a	541540
19164	ENSDARG00000008238	manba	393128
19165	ENSDARG00000008372	spred2b	793290
19166	ENSDARG00000008447	fkbp4	321795
19167	ENSDARG00000008480	trmt61a	436593
19168	ENSDARG00000008502	pno1	393520
19169	ENSDARG00000008503	glcci1a	378997
19170	ENSDARG00000008575	LYST	100150726
19171	ENSDARG00000008623	COPS3	NA
19172	ENSDARG00000008697	EPAS1	566886
19173	ENSDARG00000008748	ube2na	406807
19174	ENSDARG00000008816	glud1a	317737
19175	ENSDARG00000008818	hsf1	58123
19176	ENSDARG00000008832	neu1	559850
19178	ENSDARG00000008859	mylipa	335888
19179	ENSDARG00000008861	tfap2e	393794
19180	ENSDARG00000008920	mrpl53	447915
19181	ENSDARG00000008936	sec11a	436794
19182	ENSDARG00000008946	ccdc127b	792067
19183	ENSDARG00000008947	rtf1	100000471
19184	ENSDARG00000009136	tp53bp2a	407983
19185	ENSDARG00000009160	kmo	368242
19188	ENSDARG00000009214	mfsd13a	494111
19189	ENSDARG00000009217	tom1l2	560327
19190	ENSDARG00000009285	rpl15	445053
19191	ENSDARG00000009341	nrap	724004
19192	ENSDARG00000009482	slc38a8a	100004247
19193	ENSDARG00000009511	tnfa	405785
19194	ENSDARG00000009525	tial1	394107
19195	ENSDARG00000009594	nr1d2b	30271
19197	ENSDARG00000009637	rcvrn3	572207
19198	ENSDARG00000009640	psmb1	445413
19199	ENSDARG00000009779	mcl1a	58122
19200	ENSDARG00000009796	klc1a	393928
19201	ENSDARG00000009825	mmp23bb	550589
19202	ENSDARG00000009837	agk	334270
19203	ENSDARG00000009870	mapk8b	65236
19204	ENSDARG00000010018	qki2	393815
19205	ENSDARG00000010029	spon1a	58027
19207	ENSDARG00000010098	pank1b	565059
19208	ENSDARG00000010113	ndufb8	393829
19209	ENSDARG00000010137	ldb1a	30579
19210	ENSDARG00000010154	vstm4a	553443
19211	ENSDARG00000010207	smad3b	326283
19212	ENSDARG00000010266	igf2bp3	30967
19214	ENSDARG00000010400	lrrfip2	335838
19215	ENSDARG00000010445	trabd	322581
19216	ENSDARG00000010514	CXCR5	100537421
19218	ENSDARG00000010654	ARHGAP42	569534
19219	ENSDARG00000010662	fbxo36a	767780
19220	ENSDARG00000010673	trim16	568734
19222	ENSDARG00000010728	scin	566764
19223	ENSDARG00000010745	dnaja2b	324164
19225	ENSDARG00000010792	cdc25b	57925
19226	ENSDARG00000010823	memo1	327360
19227	ENSDARG00000010934	SYT14	564702
19228	ENSDARG00000010953	ndel1a	394244
19229	ENSDARG00000010957	mpp2b	431770
19230	ENSDARG00000011042	pgbd5	570182
19231	ENSDARG00000011055	fbxo9	325469
19232	ENSDARG00000011072	ddx11	492353
19233	ENSDARG00000011076	zgc:91968	431714
19234	ENSDARG00000011094	ccna2	192295
19235	ENSDARG00000011146	uqcrb	554154
19236	ENSDARG00000011219	akt2	378972
19237	ENSDARG00000011222	ccdc28b	559814
19238	ENSDARG00000011312	stk3	324125
19239	ENSDARG00000011334	ncaldb	445319
